median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act,region
61382.0,0.834719334719335,0.981269510926119,0.310897435897436,0.163855421686747,High,Regular School,IL,2016-2017,60617,14.8,illinois
40132.0,0.586115992970123,0.327956989247312,0.740771812080537,0.197754210854648,High,Regular School,IL,2016-2017,60020,20.9,illinois
61518.0,0.596836765144733,0.179153094462541,0.723727693324521,0.056542332741267,High,Regular School,IL,2016-2017,62613,20.3,illinois
33449.0,0.120884773662551,0.957142857142857,0.687414500683995,0.210234278668311,High,Regular School,IL,2016-2017,60623,16.8,illinois
64282.0,0.637817497648166,0.695703354914656,0.555102040816327,0.119781631342325,High,Regular School,IL,2016-2017,60402,17.6,illinois
14146.0,0.391120507399577,0.973190348525469,0.00932835820895522,0.220833333333333,High,Regular School,IL,2016-2017,60623,14.4,illinois
52767.0,0.669679027734497,0.198910081743869,0.499720514253773,0.0705363703159442,High,Regular School,WA,2016-2017,98292,22.4481074481074,washington
41349.0,0.788996029495179,0.3808,0.81547619047619,0.0345514950166113,High,Regular School,IL,2016-2017,62450,19.3,illinois
26703.0,0.558275678552422,0.669209431345354,0.294281729428173,0.153130812151271,High,Regular School,WA,2016-2017,98661,17.5152625152625,washington
88540.0,0.654216515903122,0.100082034454471,0.748524203069658,0.0631005765534914,High,Regular School,WA,2016-2017,98059,23.8644688644689,washington
48804.0,0.601626016260163,0.476510067114094,0.646604938271605,0.0642434488588335,High,Regular School,IL,2016-2017,61427,17.8,illinois
72368.0,0.822906641000962,0.283442469597755,0.882352941176471,0.099562363238512,High,Regular School,IL,2016-2017,60625,29.6,illinois
67197.0,0.788461538461538,0.102928870292887,0.681075888568684,0.0658153241650295,High,Regular School,IL,2016-2017,62025,22.9,illinois
79052.0,0.609302325581395,0.254826254826255,0.814694408322497,0.042433234421365,High,Regular School,IL,2016-2017,61088,21.1,illinois
24535.0,0.554916317991632,0.7907133243607,0.33826247689464,0.217024041585445,High,Regular School,IL,2016-2017,62205,15.4,illinois
56017.0,0.563056980826357,0.219551282051282,0.67288474350433,0.136327608982827,High,Regular School,IL,2016-2017,60135,19.7,illinois
123553.0,0.875752599890531,0.10454878943507,0.911025145067698,0.0678702774991642,High,Regular School,IL,2016-2017,60067,25.4,illinois
61905.0,0.606899682251475,0.717948717948718,0.695974576271186,0.0464675201517307,High,Regular School,WA,2016-2017,98118,15.0732600732601,washington
34509.0,0.467680608365019,0.953626634958383,0.4325,0.139240506329114,High,Regular School,IL,2016-2017,60623,16.0,illinois
40904.0,0.398401826484018,0.676866585067319,0.714170367379895,0.124950416501388,High,Regular School,WA,2016-2017,98930,17.1245421245421,washington
39255.0,0.621703089675961,0.69579115610016,0.580228136882129,0.159968479117415,High,Regular School,IL,2016-2017,61108,18.0,illinois
74167.0,0.85505193578848,0.160734787600459,0.711764705882353,0.058641975308642,High,Regular School,WA,2016-2017,98501,24.6214896214896,washington
51890.0,0.499439461883408,0.433774834437086,0.74400871459695,0.0606595995288575,High,Regular School,IL,2016-2017,61910,17.9,illinois
86851.0,0.807291666666667,0.107510288065844,0.888108108108108,0.0847204968944099,High,Regular School,IL,2016-2017,60510,23.4,illinois
